CardNumber,CustomerID,CreditLimit,Balance,DueDate,Status
1,58,18009.7,37.8,2023-01-10,Active
2,10,13222.3,7602.27,2023-06-30,Inactive
3,30,7579.38,4185.61,2023-04-27,Active
4,84,6979.19,5780.69,2023-05-16,Inactive
5,15,4933.45,4231.71,2023-02-11,Inactive
6,46,8730.56,7372.22,2024-10-02,Active
7,99,4270.72,881.94,2024-07-26,Active
8,33,5047.43,3802.24,2023-06-23,Active
9,20,17325.46,11116.25,2023-01-24,Active
10,80,16659.15,10267.48,2023-06-14,Active
11,93,9042.72,4958.46,2024-11-28,Inactive
12,31,19680.19,15272.18,2024-08-28,Inactive
13,71,5075.65,2825.05,2024-06-29,Inactive
14,7,4906.87,1768.63,2023-02-05,Inactive
15,57,5948.37,602.64,2024-11-10,Inactive
16,29,8115.52,2325.75,2023-05-20,Active
17,36,6394.85,2717.23,2023-08-24,Inactive
18,65,8014.8,4098.44,2024-10-08,Inactive
19,11,4346.03,525.47,2023-07-24,Active
20,35,13223.2,840.29,2024-11-23,Inactive
21,26,13678.95,8345.24,2024-07-17,Active
22,59,4016.62,856,2024-05-05,Inactive
23,99,2846.75,1863.05,2024-07-11,Inactive
24,69,8641.62,5543.49,2024-08-16,Active
25,88,13314.04,4379.05,2024-10-31,Inactive
26,68,10164.54,8225.43,2023-12-21,Active
27,47,7113.82,23.2,2024-08-28,Inactive
28,64,11834.66,4709.45,2024-08-02,Inactive
29,73,3363.02,2880.8,2024-08-28,Active
30,69,13058.2,6691.55,2023-01-22,Active
31,12,19636.26,900.87,2024-12-24,Active
32,75,14584.32,6430.32,2024-11-24,Active
33,84,17397.54,17349.78,2023-04-07,Inactive
34,51,13754.86,5057.95,2023-08-10,Inactive
35,60,13839.37,4961.57,2023-02-08,Active
36,80,2908.14,784.13,2024-02-09,Active
37,59,8910.11,1434.12,2023-03-28,Active
38,79,8185.79,2369.18,2024-02-08,Inactive
39,100,6838.61,6723.12,2023-07-14,Active
40,42,13781.74,5700.64,2023-12-28,Inactive
41,22,16096.48,9701.96,2024-08-01,Active
42,55,17742.61,6720.31,2023-07-31,Active
43,19,2389.28,1610.06,2023-10-02,Inactive
44,52,5217.55,1726.36,2024-04-04,Inactive
45,5,19865.82,16293.55,2024-02-25,Active
46,88,11567.04,2885.74,2024-07-19,Active
47,83,9778.15,7585.64,2023-02-19,Active
48,84,12040.27,8130.05,2023-01-31,Active
49,30,5771.76,161.7,2023-03-23,Active
50,73,18588.37,6906.55,2023-04-16,Inactive
51,8,2378.24,1795.22,2024-02-06,Inactive
52,71,9905.43,2345.39,2023-11-30,Active
53,2,1503.74,400.23,2023-11-30,Inactive
54,30,1141.49,1140.66,2024-05-21,Inactive
55,74,1222.53,515.79,2023-05-10,Active
56,41,3211.58,1242.23,2024-07-02,Inactive
57,4,9408.37,2547.12,2024-12-28,Inactive
58,94,14475.42,469.47,2023-03-16,Inactive
59,4,12933.63,10101.27,2023-01-13,Active
60,90,9520.39,8926.37,2024-11-28,Inactive
61,29,7521.65,2812.13,2024-12-19,Inactive
62,10,8976.35,4891.71,2024-04-14,Inactive
63,72,2921.18,225.74,2024-09-06,Active
64,98,12586.66,8296.97,2024-08-17,Inactive
65,20,5401.9,1978.13,2024-12-16,Active
66,72,6088.8,5478.11,2023-08-21,Active
67,89,17913.88,16663.96,2023-11-08,Active
68,21,11925.6,3826.47,2023-08-03,Inactive
69,56,17931.17,3965.35,2024-05-22,Inactive
70,8,17834.55,10167.81,2024-01-17,Inactive
71,42,16850.3,16586.07,2024-09-19,Inactive
72,52,8459.48,3917.59,2023-09-22,Active
73,46,17492.79,2316.3,2023-11-30,Inactive
74,1,1833.18,822.71,2024-09-08,Active
75,80,19539.18,7943.61,2024-10-25,Active
76,25,18377.1,2595.24,2023-01-17,Inactive
77,94,8465.14,1848.33,2024-03-27,Inactive
78,69,9498.29,3846.38,2023-12-22,Active
79,33,3786.12,3401.01,2024-03-10,Inactive
80,17,1498.76,904.85,2023-07-19,Active
81,51,9917.92,4691.54,2023-09-06,Inactive
82,9,9575.68,3099.62,2024-12-19,Inactive
83,92,13298.66,10649.95,2024-08-02,Inactive
84,79,13509.54,10606.47,2024-06-28,Inactive
85,65,15190.95,8738.64,2024-04-28,Inactive
86,62,16546.09,1991.45,2023-03-25,Active
87,68,3052.22,1958.99,2024-10-20,Active
88,96,6749.97,571.68,2023-05-21,Inactive
89,96,12763.69,1030.34,2024-08-08,Active
90,3,1396.12,774.88,2024-01-19,Inactive
91,93,3007.3,2271.97,2024-11-28,Active
92,57,1275.97,1043.15,2023-08-27,Active
93,74,16363.34,15971.21,2023-11-21,Active
94,63,10470.02,8652.2,2024-07-21,Active
95,54,19868.46,12006.4,2024-07-09,Inactive
96,48,4187.33,3442.4,2024-06-20,Inactive
97,86,18915.77,17536.58,2024-04-23,Inactive
98,81,4827.25,1151.09,2024-04-27,Active
99,83,1829.75,1613.62,2023-07-19,Active
100,9,2306.32,1040.01,2024-08-16,Active
