LoanID,CustomerID,LoanType,Amount,StartDate,EndDate,InterestRate,Status
1,70,Mortgage,62882.04,2020-05-05,2025-02-11,14.42,Closed
2,37,Auto Loan,11220.83,2023-12-03,2028-08-04,14.35,Active
3,75,Mortgage,43476.37,2023-03-13,2028-02-25,14.75,Active
4,68,Mortgage,70046.84,2021-12-02,2023-10-30,10.17,Active
5,52,Mortgage,52146.32,2021-11-22,2026-09-08,4.5,Closed
6,59,Personal Loan,39938.8,2020-05-20,2029-03-16,3.1,Closed
7,61,Mortgage,74720.48,2021-02-18,2025-07-16,7.68,Active
8,97,Personal Loan,61704.35,2021-09-27,2026-12-15,4.78,Active
9,79,Mortgage,60944.35,2020-09-16,2023-06-06,10.57,Active
10,17,Auto Loan,20242.23,2020-10-04,2026-04-13,6.32,Active
11,81,Auto Loan,64498.52,2023-10-16,2031-09-11,10.36,Closed
12,54,Mortgage,9651.01,2020-11-14,2030-03-06,6.22,Closed
13,80,Personal Loan,59145.46,2022-03-26,2027-02-14,4.17,Closed
14,48,Mortgage,9094.19,2021-10-04,2029-09-06,9.14,Active
15,66,Personal Loan,42965.37,2021-03-26,2030-01-04,4.62,Closed
16,45,Personal Loan,73911.87,2021-09-05,2022-10-15,9,Active
17,38,Personal Loan,47654.55,2023-08-23,2025-04-06,4.7,Active
18,73,Personal Loan,22357.37,2023-03-31,2025-03-14,11.66,Active
19,64,Personal Loan,86094.99,2020-11-22,2029-04-26,5.54,Active
20,48,Personal Loan,51650.22,2023-09-20,2026-03-08,4.51,Active
21,27,Personal Loan,8567.12,2020-01-01,2023-03-16,8.22,Active
22,19,Personal Loan,55465.71,2020-02-21,2023-11-21,14.99,Closed
23,36,Personal Loan,78413.65,2022-03-22,2024-07-19,2.55,Active
24,72,Auto Loan,16117.62,2021-12-07,2027-11-27,11.76,Closed
25,36,Personal Loan,22374.28,2021-04-06,2030-04-19,7.63,Active
26,31,Mortgage,53169.64,2023-07-28,2029-03-23,12.61,Closed
27,47,Auto Loan,7236.11,2023-04-11,2029-09-23,14.86,Active
28,11,Auto Loan,84037.28,2021-08-06,2024-10-27,13.65,Active
29,91,Mortgage,74295.22,2020-09-02,2025-01-02,8.06,Closed
30,40,Auto Loan,63767.64,2023-11-18,2025-01-27,9.28,Active
31,33,Auto Loan,8141.69,2020-09-30,2022-06-04,8.01,Closed
32,36,Auto Loan,47622.65,2022-10-31,2024-10-25,11.92,Closed
33,100,Auto Loan,54314.08,2022-02-12,2027-12-21,4.47,Active
34,9,Auto Loan,58917.42,2021-04-25,2024-03-01,14.75,Active
35,35,Mortgage,73980.88,2021-08-27,2023-08-21,7.28,Active
36,43,Personal Loan,29898.02,2022-06-05,2031-07-18,8.43,Active
37,48,Personal Loan,63304.64,2020-11-29,2022-05-02,3.76,Active
38,47,Personal Loan,63864.5,2022-09-11,2029-03-07,13.96,Closed
39,60,Mortgage,58429.4,2020-03-26,2023-04-21,4.14,Active
40,92,Mortgage,69012.97,2022-10-18,2029-07-18,14.84,Closed
41,3,Personal Loan,11497.9,2021-09-17,2031-03-24,14.79,Active
42,78,Mortgage,51323.79,2023-05-19,2030-04-21,14.64,Closed
