TransactionID,AccountNumber,TransactionDate,Amount,Type,Description
1,98,2022-10-03,368.91,Transfer,Transaction 1
2,60,2023-02-17,4301.38,Withdrawal,Transaction 2
3,3,2022-07-24,4340.46,Deposit,Transaction 3
4,32,2023-04-13,1538.59,Withdrawal,Transaction 4
5,41,2022-02-13,1720.89,Transfer,Transaction 5
6,89,2022-06-09,4365.28,Deposit,Transaction 6
7,5,2023-08-29,3701.37,Deposit,Transaction 7
8,63,2022-05-24,2169.3,Deposit,Transaction 8
9,91,2023-09-01,2663.59,Transfer,Transaction 9
10,2,2023-08-30,370.73,Deposit,Transaction 10
11,83,2023-07-29,1684.79,Transfer,Transaction 11
12,28,2022-05-22,1778.14,Withdrawal,Transaction 12
13,22,2022-03-09,1886.23,Deposit,Transaction 13
14,22,2023-04-28,1776.34,Transfer,Transaction 14
15,30,2023-11-14,2942.54,Transfer,Transaction 15
16,82,2022-05-06,2879.84,Withdrawal,Transaction 16
17,29,2023-03-29,4945.57,Deposit,Transaction 17
18,24,2023-10-07,1094.62,Deposit,Transaction 18
19,71,2023-09-25,1738.65,Deposit,Transaction 19
20,69,2023-07-01,3785.03,Withdrawal,Transaction 20
21,82,2023-03-06,4839.9,Withdrawal,Transaction 21
22,21,2023-08-05,3695.68,Withdrawal,Transaction 22
23,48,2022-05-28,406.3,Withdrawal,Transaction 23
24,41,2023-06-03,4301.78,Transfer,Transaction 24
25,94,2022-01-27,2827.84,Withdrawal,Transaction 25
26,19,2022-12-26,3344.61,Deposit,Transaction 26
27,88,2022-05-03,3548.95,Withdrawal,Transaction 27
28,19,2022-06-27,497.67,Withdrawal,Transaction 28
29,7,2023-01-28,3210.29,Deposit,Transaction 29
30,28,2023-02-23,2738.91,Deposit,Transaction 30
31,64,2022-01-21,2766.99,Transfer,Transaction 31
32,54,2023-03-03,1800.86,Withdrawal,Transaction 32
33,87,2023-03-31,4538.21,Withdrawal,Transaction 33
34,13,2023-08-17,4766.05,Withdrawal,Transaction 34
35,22,2022-06-25,4737.57,Withdrawal,Transaction 35
36,12,2023-06-16,4549.29,Withdrawal,Transaction 36
37,37,2023-05-16,3128.29,Deposit,Transaction 37
38,24,2023-10-28,1879.88,Withdrawal,Transaction 38
39,26,2022-04-05,3274.08,Withdrawal,Transaction 39
40,61,2022-01-06,3417.13,Transfer,Transaction 40
41,38,2023-08-20,4106.45,Transfer,Transaction 41
42,69,2023-08-02,1337.13,Deposit,Transaction 42
43,6,2022-10-11,2218.58,Deposit,Transaction 43
44,9,2022-05-17,4325.42,Withdrawal,Transaction 44
45,12,2022-08-25,2888.01,Withdrawal,Transaction 45
46,73,2022-08-16,1382.23,Deposit,Transaction 46
47,99,2023-01-06,2165.14,Deposit,Transaction 47
48,39,2023-02-06,212.07,Withdrawal,Transaction 48
49,51,2022-04-23,2518.32,Deposit,Transaction 49
50,1,2022-12-14,1109.54,Withdrawal,Transaction 50
51,91,2022-11-28,4997.08,Deposit,Transaction 51
52,92,2023-04-01,3894.51,Deposit,Transaction 52
53,49,2022-06-21,852.67,Transfer,Transaction 53
54,3,2022-04-09,3670.23,Deposit,Transaction 54
55,18,2023-02-12,530.64,Withdrawal,Transaction 55
56,73,2023-09-26,4752.21,Withdrawal,Transaction 56
57,62,2023-11-24,3660.55,Transfer,Transaction 57
58,10,2023-01-11,2045.38,Transfer,Transaction 58
59,20,2022-07-02,1918.54,Withdrawal,Transaction 59
60,53,2022-11-19,3221.26,Deposit,Transaction 60
61,45,2022-11-20,3399.87,Deposit,Transaction 61
62,31,2022-07-02,764.99,Deposit,Transaction 62
63,87,2023-01-07,630.7,Transfer,Transaction 63
64,59,2022-05-12,3986.73,Transfer,Transaction 64
65,21,2023-11-07,2391.63,Transfer,Transaction 65
66,98,2023-07-26,2920.51,Withdrawal,Transaction 66
67,67,2022-01-21,3291.58,Withdrawal,Transaction 67
68,30,2023-08-13,921.13,Withdrawal,Transaction 68
69,44,2023-11-20,3828.13,Withdrawal,Transaction 69
70,27,2022-02-17,2281.93,Transfer,Transaction 70
71,75,2023-10-29,4862.41,Transfer,Transaction 71
72,70,2023-09-26,1270.57,Deposit,Transaction 72
73,95,2022-06-17,1639.62,Withdrawal,Transaction 73
74,68,2023-11-10,2486.78,Withdrawal,Transaction 74
75,33,2022-02-12,517.94,Deposit,Transaction 75
76,47,2022-09-25,789.05,Transfer,Transaction 76
77,85,2022-04-25,4508.18,Transfer,Transaction 77
78,29,2022-12-03,2382.94,Withdrawal,Transaction 78
79,91,2022-03-23,4493.69,Withdrawal,Transaction 79
80,72,2022-01-12,613.53,Withdrawal,Transaction 80
81,37,2022-10-22,3245.51,Transfer,Transaction 81
82,47,2023-02-13,4346.92,Withdrawal,Transaction 82
83,71,2022-07-07,735.5,Withdrawal,Transaction 83
84,25,2023-02-27,1656.21,Transfer,Transaction 84
85,1,2023-04-11,3790.33,Withdrawal,Transaction 85
86,92,2022-01-24,2948.66,Withdrawal,Transaction 86
87,2,2023-05-26,1083.72,Transfer,Transaction 87
88,53,2022-09-08,533.7,Deposit,Transaction 88
89,63,2023-04-26,485.39,Transfer,Transaction 89
90,99,2022-11-07,4788.19,Deposit,Transaction 90
91,8,2022-08-19,4352.11,Transfer,Transaction 91
92,81,2022-03-11,3900.23,Withdrawal,Transaction 92
93,98,2022-07-18,1058.67,Transfer,Transaction 93
94,99,2022-05-03,1609.66,Transfer,Transaction 94
